# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			4361734	4361734	4361734			
N_multimapping			6993187	6993187	6993187			
N_noFeature			3671824	35979158	36433935			
N_ambiguous			6779477	1533680	1516588			
ENSG00000000003.15	TSPAN6	protein_coding	2647	1284	1363	38.1109	9.5588	9.1269
ENSG00000000005.6	TNMD	protein_coding	6	5	1	0.2655	0.0666	0.0636
ENSG00000000419.13	DPM1	protein_coding	1644	843	801	88.9535	22.3109	21.3029
ENSG00000000457.14	SCYL3	protein_coding	756	568	572	7.1732	1.7991	1.7179
ENSG00000000460.17	C1orf112	protein_coding	242	340	332	2.6473	0.6640	0.6340
ENSG00000000938.13	FGR	protein_coding	1754	886	869	33.8707	8.4953	8.1115
ENSG00000000971.16	CFH	protein_coding	2333	1129	1204	19.0933	4.7889	4.5725
ENSG00000001036.14	FUCA2	protein_coding	3010	2409	2351	69.6591	17.4715	16.6822
ENSG00000001084.13	GCLC	protein_coding	3426	2006	2009	25.9627	6.5118	6.2176
ENSG00000001167.14	NFYA	protein_coding	2148	1194	1222	36.8098	9.2324	8.8154
ENSG00000001460.18	STPG1	protein_coding	589	314	327	4.5196	1.1336	1.0824
ENSG00000001461.17	NIPAL3	protein_coding	2307	1198	1161	16.0351	4.0219	3.8402
ENSG00000001497.18	LAS1L	protein_coding	3237	1624	1626	16.8381	4.2233	4.0325
ENSG00000001561.7	ENPP4	protein_coding	3310	1652	1658	46.5483	11.6750	11.1476
ENSG00000001617.12	SEMA3F	protein_coding	16073	8111	7993	217.5093	54.5546	52.0900
ENSG00000001626.16	CFTR	protein_coding	30	16	17	0.1971	0.0494	0.0472
ENSG00000001629.10	ANKIB1	protein_coding	5672	2865	2834	50.1324	12.5740	12.0059
ENSG00000001630.17	CYP51A1	protein_coding	359	192	171	6.6437	1.6663	1.5911
ENSG00000001631.16	KRIT1	protein_coding	481	277	230	5.0634	1.2700	1.2126
ENSG00000002016.18	RAD52	protein_coding	422	218	204	6.1204	1.5351	1.4657
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	12	13	6	0.1243	0.0312	0.0298
ENSG00000002330.14	BAD	protein_coding	692	1302	1414	26.4598	6.6365	6.3367
ENSG00000002549.12	LAP3	protein_coding	7714	3880	3834	133.1012	33.3838	31.8756
ENSG00000002586.20	CD99	protein_coding	10781	4980	5801	144.9338	36.3516	34.7093
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	440	217	223	3.8649	0.9694	0.9256
ENSG00000002726.21	AOC1	protein_coding	26115	13006	13113	450.4822	112.9877	107.8833
ENSG00000002745.13	WNT16	protein_coding	4	4	0	0.0800	0.0201	0.0192
ENSG00000002746.15	HECW1	protein_coding	65	31	38	0.3046	0.0764	0.0730
ENSG00000002822.15	MAD1L1	protein_coding	38	19	19	0.3433	0.0861	0.0822
ENSG00000002834.18	LASP1	protein_coding	16534	10082	9779	152.9255	38.3560	36.6232
ENSG00000002919.15	SNX11	protein_coding	1485	774	711	23.4655	5.8855	5.6196
ENSG00000002933.9	TMEM176A	protein_coding	47825	23746	24162	898.2941	225.3056	215.1271
ENSG00000003056.8	M6PR	protein_coding	5212	3248	3155	94.9475	23.8142	22.7384
ENSG00000003096.14	KLHL13	protein_coding	465	251	214	4.3489	1.0908	1.0415
ENSG00000003137.8	CYP26B1	protein_coding	2193	1121	1072	28.5585	7.1629	6.8393
ENSG00000003147.19	ICA1	protein_coding	865	477	491	11.5690	2.9017	2.7706
ENSG00000003249.15	DBNDD1	protein_coding	780	383	423	11.4165	2.8634	2.7341
ENSG00000003393.15	ALS2	protein_coding	2457	1263	1195	15.3729	3.8558	3.6816
ENSG00000003400.15	CASP10	protein_coding	3126	1519	1607	26.9297	6.7544	6.4492
ENSG00000003402.20	CFLAR	protein_coding	14651	8358	8086	42.5656	10.6761	10.1938
ENSG00000003436.16	TFPI	protein_coding	11166	5948	5820	62.2531	15.6140	14.9086
ENSG00000003509.16	NDUFAF7	protein_coding	815	618	567	14.5785	3.6565	3.4913
ENSG00000003756.17	RBM5	protein_coding	3464	2500	2460	21.8430	5.4785	5.2310
ENSG00000003987.14	MTMR7	protein_coding	137	382	376	1.2915	0.3239	0.3093
ENSG00000003989.18	SLC7A2	protein_coding	15321	7620	7702	126.5766	31.7473	30.3131
ENSG00000004059.11	ARF5	protein_coding	5071	2637	2556	181.4676	45.5148	43.4586
ENSG00000004139.14	SARM1	protein_coding	657	2355	2419	3.8638	0.9691	0.9253
ENSG00000004142.12	POLDIP2	protein_coding	6532	3946	4059	159.7729	40.0734	38.2631
ENSG00000004399.13	PLXND1	protein_coding	44866	22378	22491	306.5943	76.8984	73.4244
ENSG00000004455.17	AK2	protein_coding	4321	2222	2143	29.3192	7.3537	7.0215
ENSG00000004468.13	CD38	protein_coding	204	99	105	1.9430	0.4873	0.4653
ENSG00000004478.8	FKBP4	protein_coding	3896	2540	2404	49.2816	12.3606	11.8022
ENSG00000004487.17	KDM1A	protein_coding	2614	1297	1317	31.3816	7.8710	7.5154
ENSG00000004534.15	RBM6	protein_coding	3451	1736	1716	30.8780	7.7447	7.3948
ENSG00000004660.15	CAMKK1	protein_coding	1355	669	686	11.9054	2.9860	2.8511
ENSG00000004700.16	RECQL	protein_coding	2163	1970	2095	37.3807	9.3756	8.9521
ENSG00000004766.17	VPS50	protein_coding	1407	713	694	9.6128	2.4110	2.3021
ENSG00000004776.13	HSPB6	protein_coding	52	111	112	1.9699	0.4941	0.4717
ENSG00000004777.18	ARHGAP33	protein_coding	1027	545	555	12.7513	3.1982	3.0537
ENSG00000004779.10	NDUFAB1	protein_coding	2601	1303	1299	109.7331	27.5227	26.2793
ENSG00000004799.8	PDK4	protein_coding	30824	15276	15552	443.0155	111.1149	106.0951
ENSG00000004809.14	SLC22A16	protein_coding	5	4	1	0.0836	0.0210	0.0200
ENSG00000004838.14	ZMYND10	protein_coding	133	93	86	3.0066	0.7541	0.7200
ENSG00000004846.16	ABCB5	protein_coding	2	2	0	0.0141	0.0035	0.0034
ENSG00000004848.8	ARX	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004864.14	SLC25A13	protein_coding	2630	1332	1298	46.2967	11.6119	11.0873
ENSG00000004866.22	ST7	protein_coding	1473	827	869	14.7409	3.6972	3.5302
ENSG00000004897.12	CDC27	protein_coding	4214	2204	2251	40.3296	10.1153	9.6583
ENSG00000004939.15	SLC4A1	protein_coding	4	4	1	0.0510	0.0128	0.0122
ENSG00000004948.16	CALCR	protein_coding	964	493	471	14.9117	3.7401	3.5711
ENSG00000004961.15	HCCS	protein_coding	1297	612	685	36.1523	9.0675	8.6579
ENSG00000004975.12	DVL2	protein_coding	1947	965	983	23.8969	5.9937	5.7229
ENSG00000005001.10	PRSS22	protein_coding	3	3	1	0.0822	0.0206	0.0197
ENSG00000005007.13	UPF1	protein_coding	9883	5016	4868	75.2877	18.8833	18.0302
ENSG00000005020.13	SKAP2	protein_coding	5424	2777	2647	66.0758	16.5728	15.8241
ENSG00000005022.6	SLC25A5	protein_coding	6671	4114	4053	280.1746	70.2720	67.0973
ENSG00000005059.16	MCUB	protein_coding	184	99	87	3.3802	0.8478	0.8095
ENSG00000005073.6	HOXA11	protein_coding	65	41	48	1.5905	0.3989	0.3809
ENSG00000005075.15	POLR2J	protein_coding	1431	736	715	68.9713	17.2990	16.5175
ENSG00000005100.13	DHX33	protein_coding	1611	825	786	18.1744	4.5584	4.3525
ENSG00000005102.14	MEOX1	protein_coding	19	11	8	0.4640	0.1164	0.1111
ENSG00000005108.16	THSD7A	protein_coding	2116	1157	1131	12.6538	3.1738	3.0304
ENSG00000005156.12	LIG3	protein_coding	1517	1190	1146	7.6795	1.9261	1.8391
ENSG00000005175.10	RPAP3	protein_coding	1085	506	579	13.2448	3.3220	3.1719
ENSG00000005187.12	ACSM3	protein_coding	1646	1182	1220	14.3139	3.5901	3.4280
ENSG00000005189.20	REXO5	protein_coding	270	141	149	4.2893	1.0758	1.0272
ENSG00000005194.15	CIAPIN1	protein_coding	2940	1491	1449	56.7562	14.2353	13.5922
ENSG00000005206.17	SPPL2B	protein_coding	2843	1417	1429	25.0265	6.2770	5.9934
ENSG00000005238.20	FAM214B	protein_coding	2074	1071	1003	21.2470	5.3291	5.0883
ENSG00000005243.10	COPZ2	protein_coding	281	147	135	9.8347	2.4667	2.3553
ENSG00000005249.13	PRKAR2B	protein_coding	180	89	91	2.7582	0.6918	0.6605
ENSG00000005302.19	MSL3	protein_coding	1720	886	834	11.4857	2.8808	2.7506
ENSG00000005339.15	CREBBP	protein_coding	9682	4909	4774	40.8498	10.2458	9.7829
ENSG00000005379.17	TSPOAP1	protein_coding	1899	948	963	10.8895	2.7312	2.6079
ENSG00000005381.8	MPO	protein_coding	13	7	6	0.2407	0.0604	0.0576
ENSG00000005421.9	PON1	protein_coding	14	6	8	0.3441	0.0863	0.0824
ENSG00000005436.14	GCFC2	protein_coding	1196	870	895	14.3004	3.5867	3.4247
ENSG00000005448.17	WDR54	protein_coding	1364	682	689	31.2344	7.8341	7.4801
ENSG00000005469.12	CROT	protein_coding	861	422	439	11.2573	2.8235	2.6960
