199_40_Pancreas	199_41_Liver	199_42_Stomach	199_43_Duodenum	199_44_Jejunum	199_45_Ileum	199_46_Colon	199_47_Kidneys	199_48_Quadriceps	199_49_Thymus	199_50_Heart	199_51_Esophagus	199_52_Brain	199_53_Pancreas	199_54_Liver	199_55_Stomach	199_56_Duodenum	199_57_Jejunum	199_58_Ileum	199_59_Colon	199_60_Kidneys	199_61_Quadriceps	199_62_Thymus	199_63_Heart	199_64_Esophagus	199_65_Brain	199_66_Pancreas	199_67_Liver	199_68_Stomach	199_69_Duodenum	199_70_Jejunum	199_71_Ileum	199_72_Colon	199_73_Kidneys	199_74_Quadriceps	199_75_Thymus	199_76_Heart	199_77_Esophagus	199_78_Brain	199_79_Unknown
ENSRNOG00000000001	0	0.00579312551808646	0.128328355809667	0.0582980498086147	0.0570616556588429	0.120858885638259	0.300044084841124	0.0159287480037534	0.0338963035737346	0.0163899565277679	0.0356546961745596	0.141241771450754	0.0166137008202645	0.045246672222695	0.0107329900697269	0.15055550189798	0.0545490826793287	0.200819712215588	0.0977547841987615	0.32992485114892	0.0506961667628872	0.0213068164129303	0.0253890710712448	0.0371030158481742	0.295643694335309	0.0603803790857975	0.0248548846729871	0.0134169125513912	0.101942492982027	0.0671667120041973	0.104242407483621	0.354738697566382	0.322090272161196	0.0223399132468085	0.0243640722339354	0.0239489458997967	0.0275666130331277	0.229602953815092	0.0421690268556586	0.0215796798647173
ENSRNOG00000000007	0.0289056708535987	0.00267375023911683	0.0130227506952728	0	0.00290965949535176	0.00343526548325799	0.0347198483535208	0.00482246499196204	0.00263121991211639	0.0299431898103451	0.0489215598674189	0.00681504325455989	31.2896577589749	0.0921175839610766	0.014590158376035	0.0224088848636031	0.0142866645112527	0.0110662402193355	0.00599142225734345	0.017270755834563	0.00579384763004425	0.00863789854578257	0.0115950088356866	0.0655308661203364	0	28.8248011017356	0.192100641983665	0.0307134142742691	0.0311165463891502	0.0110882427786815	0.0207137578683125	0.0404038850937676	0.0466161065110069	0	0.00554959423106307	0.0218244426344921	0.0575775562859416	0.0235893445700436	28.3785782638064	45.9245874791169
ENSRNOG00000000008	0	0	0.0154645164506364	0	0	0	0	0.00423792378081513	0.0137752101281387	0.0132380418108894	0.00829178980803711	0	0.234937275128917	0.00812119757843244	0	0	0	0	0	0	0.0103001735645231	0.0431894927289128	0.0205911363806159	0.00373699440197438	0.00538798032004384	0.09779641727339	0	0	0.00755129577644648	0.0197549152953521	0.0047153269944126	0.0391065126366283	0.0116540266277517	0	0.0147537992972164	0.0386273320964462	0.00896254413884941	0.0120567761135779	0.253014161133951	0.00542646920574761
ENSRNOG00000000009	0	0	0	0	0	0	0	0	0.0117631007835791	0	0	0.00766692366137988	0	0	0	0	0.00714333225562637	0	0	0.00979269660722643	0	0	0	0	0.0210305038298485	0	0	0	0	0	0	0	0	0	0	0	0.0057034371792678	0.0153767579419544	0.00882607538839365	0.00340731787337641
ENSRNOG00000000010	0	0	0.00271307306151516	0.00380535573163282	0.00371789824406058	0	0.0502226643625348	0	0	0.526527353454542	0.0117467022280526	0.00425940203409993	25.3112663826287	0.0116017108263321	0.00318635642695017	0.00254951384675724	0	0.00406847066887334	0	0.338649253580812	0.00740324974950099	0	0.260088043021177	0.00266928171569598	0.00382372796906337	22.2193855982054	0.0143606000332815	0.00775917834297325	0.0161441495910235	0.00356862985980555	0.0168404535514736	0.247427461468714	0.0415491384119844	0	0.0105577646347053	0.290477537365276	0	0.012930455542098	5.33330315469334	0.0778635232545646
ENSRNOG00000000012	0.210734742295708	0.00816979239730141	0.14230068207647	0.0739761154229419	0.0452613699276941	0.0861939339435642	0.237709845471547	0.0980567881698948	1.02338976817139	0.688693365637938	2.48352924400391	0.76294409234798	0.318787600445311	0.222172762324259	0.00771433661261621	0.128817541730892	0.0292227228639261	0.0987824678402447	0.139537070993393	0.201551501079642	0.0632495032946497	1.23968240629556	0.20531162196983	2.54516011591612	0.632305561429661	0.282500986739125	0.0531342201231414	0	0.0661389354212899	0.00866667251667062	0.198212138300844	0.333239382562359	0.142888500392434	0.0424458351689362	1.48228308352126	0.204145450129718	2.77866027528995	0.791903034010651	0.2406576555902	0.00706702966329922
ENSRNOG00000000017	0	0.0191618767136706	0.0630789486802276	0.0357703438773485	0.0210142074664294	0.0585556616464431	0.22123810346197	1.1242188843383	0.212509702313871	0.054370528866153	0.00566605636882536	0.0986477511097544	0.23826001529297	0.0278441059831969	0.0177765148029852	0.0142236035661193	0.0376648428023936	0.0305948994299275	0.00725277431152102	0.365000509905712	1.43574763076735	0.023610256025139	0.01879191087163	0.0153483698652519	0.0594415893372579	0.133430739356811	0	0.104102309434891	0.0820226955027808	0.0337745326017311	0.0127987446991199	0.0802517534201898	0.071275351259583	1.43039273103137	0.0335682773000888	0.0131332929127917	0	0.0983763036513672	0.205353354036626	0.0495954046013677
ENSRNOG00000000021	0.0124017729734912	0.237963771281398	0.486996614541972	0.839613688627464	0.7841532339973	0.952036984155636	0.659677118716896	0.44892765016083	0.193007719435832	2.51696149716327	0.395932963333772	0.577745291905315	0.936621815655384	0.11845346753685	0.214827504364378	0.587595849207892	0.778623215863275	0.978711304104171	0.583848332077442	1.15482600353583	0.708619753196801	0.106822012016178	7.39521666982274	0.284011574550053	0.45902116210438	0.862548562874818	0.0512562955034046	0.284988154555455	0.573247505236101	0.460353251914916	0.873177516643904	3.25696088418706	1.09649189662847	0.656633878647265	0.207636037815872	6.34144911027358	0.403178690124907	0.645474361790676	0.884568888925675	0.602211884879712
ENSRNOG00000000024	0.36585230271799	12.5156763276259	5.74601743698297	6.09907195243181	7.21078282048063	3.68588371510477	1.87535627409041	1.63013930258596	0.715846593737547	4.48612021653307	1.15435533777557	5.42903383266377	3.38997678854904	0.984985249155592	9.07323377722554	4.95960954157865	6.23288208995472	4.38450947043142	4.10365123925995	1.86007820828535	0.886297747184824	0.583058151840324	2.57549135914053	0.988968875665362	3.72639671166903	3.48008748835814	0.803530804939149	13.8110141513948	8.40368083590157	8.7267019689552	5.38103012330235	3.97644658113204	1.89014799987202	1.37725565166575	0.551169456314361	2.78503064415377	1.30282800709275	5.36072223751385	4.62388282847512	0.880728571788665
ENSRNOG00000000033	0.0203198280257971	0.226526061925176	0.177299324570016	0.0896541810372691	0.170700023727303	0.151151681263352	1.37700533446731	0.295193311629192	3.72596217319869	0.324332024366791	1.87477367559719	1.93223513874909	12.9665048519571	0.0541799895589707	0.154789841161843	0.124121068855287	0.115267406852153	0.178361754123407	0.0903443408804683	0.60180571877137	0.245916643852989	2.67731665426531	0.342252674598198	1.25896672120801	2.01840695021513	13.5861791996725	0.191216912750848	0.571431155050217	0.367279403195785	0.192578561363078	0.354154738187489	3.89749220016899	0.680324916762086	1.06050759598778	2.56052863582976	0.353633225342965	2.96863905180889	2.97348056702543	14.5863644568766	0.681842165550102
