# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			1676867	1676867	1676867			
N_multimapping			8139783	8139783	8139783			
N_noFeature			1706790	35004286	34974339			
N_ambiguous			8087352	1841871	1847897			
ENSG00000000003.15	TSPAN6	protein_coding	2812	1385	1427	37.1024	10.0007	12.2199
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	3451	1733	1719	171.1187	46.1239	56.3588
ENSG00000000457.14	SCYL3	protein_coding	378	316	328	3.2868	0.8859	1.0825
ENSG00000000460.17	C1orf112	protein_coding	400	380	342	4.0100	1.0809	1.3207
ENSG00000000938.13	FGR	protein_coding	400	190	210	7.0786	1.9080	2.3314
ENSG00000000971.16	CFH	protein_coding	15879	7932	7947	119.0913	32.1003	39.2233
ENSG00000001036.14	FUCA2	protein_coding	6298	5093	5152	133.5689	36.0026	43.9916
ENSG00000001084.13	GCLC	protein_coding	2174	1333	1287	15.0978	4.0695	4.9725
ENSG00000001167.14	NFYA	protein_coding	2243	1251	1292	35.2249	9.4946	11.6015
ENSG00000001460.18	STPG1	protein_coding	194	116	99	1.3642	0.3677	0.4493
ENSG00000001461.17	NIPAL3	protein_coding	666	346	341	4.2422	1.1435	1.3972
ENSG00000001497.18	LAS1L	protein_coding	4158	2039	2124	19.8211	5.3426	6.5282
ENSG00000001561.7	ENPP4	protein_coding	941	455	486	12.1271	3.2688	3.9941
ENSG00000001617.12	SEMA3F	protein_coding	640	325	315	7.9369	2.1393	2.6141
ENSG00000001626.16	CFTR	protein_coding	17	14	14	0.1023	0.0276	0.0337
ENSG00000001629.10	ANKIB1	protein_coding	7172	3613	3615	58.0917	15.6582	19.1328
ENSG00000001630.17	CYP51A1	protein_coding	369	191	180	6.2580	1.6868	2.0611
ENSG00000001631.16	KRIT1	protein_coding	395	236	210	3.8105	1.0271	1.2550
ENSG00000002016.18	RAD52	protein_coding	281	128	155	3.7348	1.0067	1.2301
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	7	4	5	0.0664	0.0179	0.0219
ENSG00000002330.14	BAD	protein_coding	453	1033	1060	15.8734	4.2786	5.2280
ENSG00000002549.12	LAP3	protein_coding	6256	3122	3136	98.9215	26.6636	32.5803
ENSG00000002586.20	CD99	protein_coding	34248	16414	17835	421.9272	113.7276	138.9638
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	170	87	83	1.3684	0.3689	0.4507
ENSG00000002726.21	AOC1	protein_coding	20372	10143	10232	322.0422	86.8043	106.0662
ENSG00000002745.13	WNT16	protein_coding	13	11	8	0.2384	0.0643	0.0785
ENSG00000002746.15	HECW1	protein_coding	567	354	342	2.4352	0.6564	0.8020
ENSG00000002822.15	MAD1L1	protein_coding	26	13	13	0.2152	0.0580	0.0709
ENSG00000002834.18	LASP1	protein_coding	14216	8584	8767	120.4955	32.4788	39.6858
ENSG00000002919.15	SNX11	protein_coding	1012	492	520	14.6546	3.9501	4.8266
ENSG00000002933.9	TMEM176A	protein_coding	77755	38770	39264	1338.3923	360.7546	440.8060
ENSG00000003056.8	M6PR	protein_coding	9796	6157	6062	163.5383	44.0806	53.8621
