gene_id	gene_name	individual_1	individual_2	individual_3	individual_4	individual_5	individual_6	individual_7	individual_8	individual_9	individual_10
ENSG00000000003.15	TSPAN6	78.8062	99.4232	1.0222	61.3677	39.9315	0	57.5719	25.4086	51.2845	194.9786
ENSG00000000005.6	TNMD	0	0.6969	0	0.8593	0.3578	0	0	0.0467	0.7766	4.3175
ENSG00000000419.13	DPM1	145.1657	115.421	131.0724	83.4367	66.1125	43.9931	86.4358	62.8583	188.4803	185.9331
ENSG00000000457.14	SCYL3	7.4752	23.3972	8.5867	6.6339	4.7312	15.2377	4.7965	6.5035	6.3439	6.8063
ENSG00000000460.17	C1orf112	10.1393	7.818	19.1992	7.2377	1.7593	15.761	3.3714	2.611	8.7038	5.2795
ENSG00000000938.13	FGR	4.1118	26.6887	40.8374	21.5519	13.6885	18.9968	3.2967	113.9825	2.9695	7.1297
ENSG00000000971.16	CFH	78.376	28.817	9.6608	11.4545	54.0646	0.3455	3.0484	39.0673	23.0501	16.9213
ENSG00000001036.14	FUCA2	104.9599	52.0094	19.169	48.3015	74.1856	21.5772	9.9543	60.3206	56.2642	114.6804
ENSG00000001084.13	GCLC	66.3092	19.0299	16.6358	18.083	15.8363	25.9812	12.3831	12.3331	9.9435	18.1068
ENSG00000001167.14	NFYA	27.8819	109.4305	51.8948	36.5211	18.3676	53.2169	15.749	17.5554	29.0739	18.8459
ENSG00000001460.18	STPG1	7.1602	5.5141	4.6126	4.9079	4.1709	1.6478	0.4253	6.9532	6.1629	2.9343
ENSG00000001461.17	NIPAL3	18.3431	38.6785	10.8104	15.7668	26.009	24.9142	4.4306	14.9823	17.0611	13.4547
ENSG00000001497.18	LAS1L	10.2877	19.5349	28.2105	13.8606	12.5995	18.2827	25.7652	11.0422	8.3166	31.9501
ENSG00000001561.7	ENPP4	1.9552	13.1927	17.6922	50.0536	49.8306	9.1627	21.6389	26.5257	20.3094	18.8034
ENSG00000001617.12	SEMA3F	80.9523	22.2599	11.7983	12.0371	78.0426	0.1242	8.9412	16.9073	32.6856	42.8266
ENSG00000001626.16	CFTR	0.0247	0.2522	0.1119	0.5103	0.0295	0.0121	0.233	9.2269	17.6339	91.1411
ENSG00000001629.10	ANKIB1	43.8944	31.1741	24.3392	80.9185	36.0037	39.7762	30.5609	18.9957	32.9232	20.862
ENSG00000001630.17	CYP51A1	4.0564	1.9128	2.2248	3.642	1.4132	0.5095	0.3077	3.8698	1.3456	6.1007
ENSG00000001631.16	KRIT1	3.5731	4.2693	3.6372	6.4877	2.3266	12.2878	5.5665	2.7682	4.6012	3.9977
ENSG00000002016.18	RAD52	9.7368	11.3215	8.0179	19.4353	4.769	29.1208	8.3928	3.6761	9.6969	8.0322
ENSG00000002079.14	MYH16	0.2075	0.0714	0.049	0.3486	0.0186	0.4181	0.1263	0.2187	0.1298	0.2731
ENSG00000002330.14	BAD	34.0513	17.3519	12.198	49.5563	14.9779	5.0528	71.9335	13.8915	21.5706	45.8821
ENSG00000002549.12	LAP3	122.5375	103.7108	173.2181	117.9339	118.4347	29.4514	70.1426	153.6534	67.4013	100.4283
ENSG00000002586.20	CD99	40.3105	139.4947	78.5192	376.1927	133.4737	85.5431	230.8059	186.0191	63.4013	174.6806
ENSG00000002586.20_PAR_Y	CD99	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.10	HS3ST1	79.4123	11.5261	2.0788	14.3754	13.0055	3.3855	9.7766	23.4238	1.4829	4.7489
