Rat gene stable ID,Gene stable ID version,Mouse gene stable ID
,ENSG00000210049.1,
,ENSG00000211459.2,
,ENSG00000210077.1,
,ENSG00000210082.2,
,ENSG00000209082.1,
ENSRNOG00000030644,ENSG00000198888.2,ENSMUSG00000064341
,ENSG00000210100.1,
,ENSG00000210107.1,
,ENSG00000210112.1,
ENSRNOG00000031033,ENSG00000198763.3,ENSMUSG00000064345
,ENSG00000210117.1,
,ENSG00000210127.1,
,ENSG00000210135.1,
,ENSG00000210140.1,
,ENSG00000210144.1,
ENSRNOG00000034234,ENSG00000198804.2,ENSMUSG00000064351
,ENSG00000210151.2,
,ENSG00000210154.1,
ENSRNOG00000030371,ENSG00000198712.1,ENSMUSG00000064354
,ENSG00000210156.1,
ENSRNOG00000033299,ENSG00000228253.1,ENSMUSG00000064356
ENSRNOG00000031979,ENSG00000198899.2,ENSMUSG00000064357
ENSRNOG00000030700,ENSG00000198938.2,ENSMUSG00000064358
,ENSG00000210164.1,
ENSRNOG00000033615,ENSG00000198840.2,ENSMUSG00000064360
,ENSG00000210174.1,
ENSRNOG00000031053,ENSG00000212907.2,ENSMUSG00000065947
ENSRNOG00000029707,ENSG00000198886.2,ENSMUSG00000064363
,ENSG00000210176.1,
,ENSG00000210184.1,
,ENSG00000210191.1,
ENSRNOG00000029971,ENSG00000198786.2,ENSMUSG00000064367
ENSRNOG00000029042,ENSG00000198695.2,ENSMUSG00000064368
,ENSG00000210194.1,
ENSRNOG00000031766,ENSG00000198727.2,ENSMUSG00000064370
,ENSG00000210195.2,
,ENSG00000210196.2,
,ENSG00000215601.3,
,ENSG00000215603.4,
,ENSG00000225878.1,
,ENSG00000236435.1,
,ENSG00000258991.1,
,ENSG00000224518.2,
,ENSG00000231988.1,
,ENSG00000238073.1,
,ENSG00000275866.1,
,ENSG00000271595.1,
,ENSG00000183704.7,
,ENSG00000232927.1,
,ENSG00000277438.1,
,ENSG00000259154.1,
,ENSG00000169789.10,
,ENSG00000273589.1,
,ENSG00000273863.1,
,ENSG00000271375.1,
,ENSG00000224634.1,
,ENSG00000285470.1,
,ENSG00000234620.1,
,ENSG00000236690.2,
,ENSG00000273693.1,
ENSRNOG00000058664,ENSG00000114374.13,ENSMUSG00000069044
,ENSG00000169807.10,
,ENSG00000223422.1,
,ENSG00000231159.1,
,ENSG00000225653.1,
,ENSG00000251618.1,
,ENSG00000229159.1,
,ENSG00000228578.1,
,ENSG00000275280.1,
,ENSG00000270242.1,
,ENSG00000236477.1,
,ENSG00000237997.1,
,ENSG00000244246.1,
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000096049
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000095724
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000093847
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000057561
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000095799
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000096803
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000113201
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000092019
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000096619
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000079031
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000079034
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000095717
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000113971
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000072905
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000113805
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000114075
ENSRNOG00000031421,ENSG00000198692.10,ENSMUSG00000079029
,ENSG00000183753.10,
,ENSG00000225433.3,
,ENSG00000235857.1,
,ENSG00000223955.1,
,ENSG00000270455.1,
,ENSG00000229940.1,
,ENSG00000234385.1,
,ENSG00000226863.1,
,ENSG00000237968.1,
,ENSG00000271365.1,
,ENSG00000259029.1,
,ENSG00000215537.3,
,ENSG00000230476.1,
,ENSG00000229745.1,
,ENSG00000275828.1,
,ENSG00000225615.1,
,ENSG00000232522.1,
,ENSG00000234131.1,
,ENSG00000277519.1,
,ENSG00000259247.1,
,ENSG00000273731.1,
,ENSG00000215583.3,
,ENSG00000274162.1,
,ENSG00000227444.1,
,ENSG00000233774.1,
,ENSG00000228764.1,
,ENSG00000232226.2,
,ENSG00000224567.2,
,ENSG00000241200.1,
,ENSG00000228518.1,
,ENSG00000274231.1,
,ENSG00000274502.1,
,ENSG00000278854.1,
,ENSG00000225809.1,
,ENSG00000237902.1,
,ENSG00000232419.1,
,ENSG00000226906.1,
,ENSG00000230025.1,
,ENSG00000235649.2,
,ENSG00000258567.1,
,ENSG00000234179.1,
,ENSG00000271309.1,
,ENSG00000229553.1,
,ENSG00000228240.1,
,ENSG00000234652.1,
,ENSG00000218410.1,
,ENSG00000224989.2,
,ENSG00000232029.1,
,ENSG00000273858.1,
,ENSG00000227830.1,
,ENSG00000226529.1,
,ENSG00000274837.1,
,ENSG00000216777.1,
,ENSG00000216824.2,
,ENSG00000276829.1,
,ENSG00000228850.1,
,ENSG00000283076.1,
,ENSG00000234850.1,
,ENSG00000224873.1,
,ENSG00000229234.1,
,ENSG00000270570.1,
,ENSG00000223517.1,
,ENSG00000228207.1,
,ENSG00000224917.1,
,ENSG00000225117.2,
,ENSG00000215560.2,
,ENSG00000228411.1,
ENSRNOG00000060963,ENSG00000244395.6,ENSMUSG00000091987
ENSRNOG00000060963,ENSG00000244395.6,ENSMUSG00000094658
ENSRNOG00000060963,ENSG00000244395.6,ENSMUSG00000093918
ENSRNOG00000060963,ENSG00000244395.6,ENSMUSG00000094511
ENSRNOG00000060963,ENSG00000244395.6,ENSMUSG00000102053
ENSRNOG00000060963,ENSG00000244395.6,ENSMUSG00000095948
ENSRNOG00000060963,ENSG00000244395.6,ENSMUSG00000096520
ENSRNOG00000060963,ENSG00000244395.6,ENSMUSG00000095852
ENSRNOG00000060963,ENSG00000244395.6,ENSMUSG00000093987
ENSRNOG00000060963,ENSG00000244395.6,ENSMUSG00000101667
,ENSG00000230814.1,
,ENSG00000229725.1,
,ENSG00000229518.1,
,ENSG00000232730.1,
,ENSG00000244000.1,
,ENSG00000232764.1,
,ENSG00000236131.1,
,ENSG00000227949.1,
